date_id,full_date,year,quarter,month,month_name,week,day,day_of_week,day_name
20240101,2024-01-01,2024,1,1,January,1,1,0,Monday
20240102,2024-01-02,2024,1,1,January,1,2,1,Tuesday
20240103,2024-01-03,2024,1,1,January,1,3,2,Wednesday
20240104,2024-01-04,2024,1,1,January,1,4,3,Thursday
20240105,2024-01-05,2024,1,1,January,1,5,4,Friday
20240106,2024-01-06,2024,1,1,January,1,6,5,Saturday
20240107,2024-01-07,2024,1,1,January,1,7,6,Sunday
20240108,2024-01-08,2024,1,1,January,2,8,0,Monday
20240109,2024-01-09,2024,1,1,January,2,9,1,Tuesday
20240110,2024-01-10,2024,1,1,January,2,10,2,Wednesday
20240111,2024-01-11,2024,1,1,January,2,11,3,Thursday
20240112,2024-01-12,2024,1,1,January,2,12,4,Friday
20240113,2024-01-13,2024,1,1,January,2,13,5,Saturday
20240114,2024-01-14,2024,1,1,January,2,14,6,Sunday
20240115,2024-01-15,2024,1,1,January,3,15,0,Monday
20240116,2024-01-16,2024,1,1,January,3,16,1,Tuesday
20240117,2024-01-17,2024,1,1,January,3,17,2,Wednesday
20240118,2024-01-18,2024,1,1,January,3,18,3,Thursday
20240119,2024-01-19,2024,1,1,January,3,19,4,Friday
20240120,2024-01-20,2024,1,1,January,3,20,5,Saturday
20240121,2024-01-21,2024,1,1,January,3,21,6,Sunday
20240122,2024-01-22,2024,1,1,January,4,22,0,Monday
20240123,2024-01-23,2024,1,1,January,4,23,1,Tuesday
20240124,2024-01-24,2024,1,1,January,4,24,2,Wednesday
20240125,2024-01-25,2024,1,1,January,4,25,3,Thursday
20240126,2024-01-26,2024,1,1,January,4,26,4,Friday
20240127,2024-01-27,2024,1,1,January,4,27,5,Saturday
20240128,2024-01-28,2024,1,1,January,4,28,6,Sunday
20240129,2024-01-29,2024,1,1,January,5,29,0,Monday
20240130,2024-01-30,2024,1,1,January,5,30,1,Tuesday
20240131,2024-01-31,2024,1,1,January,5,31,2,Wednesday
20240201,2024-02-01,2024,1,2,February,5,1,3,Thursday
20240202,2024-02-02,2024,1,2,February,5,2,4,Friday
20240203,2024-02-03,2024,1,2,February,5,3,5,Saturday
20240204,2024-02-04,2024,1,2,February,5,4,6,Sunday
20240205,2024-02-05,2024,1,2,February,6,5,0,Monday
20240206,2024-02-06,2024,1,2,February,6,6,1,Tuesday
20240207,2024-02-07,2024,1,2,February,6,7,2,Wednesday
20240208,2024-02-08,2024,1,2,February,6,8,3,Thursday
20240209,2024-02-09,2024,1,2,February,6,9,4,Friday
20240210,2024-02-10,2024,1,2,February,6,10,5,Saturday
20240211,2024-02-11,2024,1,2,February,6,11,6,Sunday
20240212,2024-02-12,2024,1,2,February,7,12,0,Monday
20240213,2024-02-13,2024,1,2,February,7,13,1,Tuesday
20240214,2024-02-14,2024,1,2,February,7,14,2,Wednesday
20240215,2024-02-15,2024,1,2,February,7,15,3,Thursday
20240216,2024-02-16,2024,1,2,February,7,16,4,Friday
20240217,2024-02-17,2024,1,2,February,7,17,5,Saturday
20240218,2024-02-18,2024,1,2,February,7,18,6,Sunday
20240219,2024-02-19,2024,1,2,February,8,19,0,Monday
20240220,2024-02-20,2024,1,2,February,8,20,1,Tuesday
20240221,2024-02-21,2024,1,2,February,8,21,2,Wednesday
20240222,2024-02-22,2024,1,2,February,8,22,3,Thursday
20240223,2024-02-23,2024,1,2,February,8,23,4,Friday
20240224,2024-02-24,2024,1,2,February,8,24,5,Saturday
20240225,2024-02-25,2024,1,2,February,8,25,6,Sunday
20240226,2024-02-26,2024,1,2,February,9,26,0,Monday
20240227,2024-02-27,2024,1,2,February,9,27,1,Tuesday
20240228,2024-02-28,2024,1,2,February,9,28,2,Wednesday
20240229,2024-02-29,2024,1,2,February,9,29,3,Thursday
20240301,2024-03-01,2024,1,3,March,9,1,4,Friday
20240302,2024-03-02,2024,1,3,March,9,2,5,Saturday
20240303,2024-03-03,2024,1,3,March,9,3,6,Sunday
20240304,2024-03-04,2024,1,3,March,10,4,0,Monday
20240305,2024-03-05,2024,1,3,March,10,5,1,Tuesday
20240306,2024-03-06,2024,1,3,March,10,6,2,Wednesday
20240307,2024-03-07,2024,1,3,March,10,7,3,Thursday
20240308,2024-03-08,2024,1,3,March,10,8,4,Friday
20240309,2024-03-09,2024,1,3,March,10,9,5,Saturday
20240310,2024-03-10,2024,1,3,March,10,10,6,Sunday
20240311,2024-03-11,2024,1,3,March,11,11,0,Monday
20240312,2024-03-12,2024,1,3,March,11,12,1,Tuesday
20240313,2024-03-13,2024,1,3,March,11,13,2,Wednesday
20240314,2024-03-14,2024,1,3,March,11,14,3,Thursday
20240315,2024-03-15,2024,1,3,March,11,15,4,Friday
20240316,2024-03-16,2024,1,3,March,11,16,5,Saturday
20240317,2024-03-17,2024,1,3,March,11,17,6,Sunday
20240318,2024-03-18,2024,1,3,March,12,18,0,Monday
20240319,2024-03-19,2024,1,3,March,12,19,1,Tuesday
20240320,2024-03-20,2024,1,3,March,12,20,2,Wednesday
20240321,2024-03-21,2024,1,3,March,12,21,3,Thursday
20240322,2024-03-22,2024,1,3,March,12,22,4,Friday
20240323,2024-03-23,2024,1,3,March,12,23,5,Saturday
20240324,2024-03-24,2024,1,3,March,12,24,6,Sunday
20240325,2024-03-25,2024,1,3,March,13,25,0,Monday
20240326,2024-03-26,2024,1,3,March,13,26,1,Tuesday
20240327,2024-03-27,2024,1,3,March,13,27,2,Wednesday
20240328,2024-03-28,2024,1,3,March,13,28,3,Thursday
20240329,2024-03-29,2024,1,3,March,13,29,4,Friday
